# BEAST v10.5.0
# Generated Fri Oct 17 12:27:02 UTC 2025 [seed=1760704018445]
# -beagle -working beastX_run_b/h5n1-andersen-e756a15-ALL_full_dates_only.xml
# keywords: skygrid
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	skygrid
2000000	-87018.0884602824	-20128.65450577205	-66889.43395451034	28.637015461778567	1996.9547645382213	3667.784414640444	6.24524	1.2393818399053405	1.6147601076450062	1.9117164609228472	3.269008876308151	3.229187073171831	3.3341720665419787	3.2249079274751096	3.433898868063023	4.46215804100939	5.1066148387272685	5.64628692640173	4.829033292245689	5.3024044478026235	6.197357330683682	6.861819709480349	7.462249827336877	8.19009868616423	7.973952065916271	8.577393074557607	8.205888644111491	7.7713536948157405	7.327353111304857	5.99629595967133	1.833	15.987689902134063	0.32398321987444306	0.2031477844227054	0.2501297077959928	0.22273928790685893	9.608669698005601E-5	9.608669698005603E-5	-66889.43395451034	0.0	-20116.777454804138
2200000	-85807.30599482203	-19551.04829522586	-66256.25769959617	28.910765315669256	1996.6810146843306	3220.4319373669828	6.24524	1.0284151998141542	1.3567734095002693	1.3242467538261915	2.9046940182342986	3.0721470763199554	2.959293569575745	2.8322914890667534	3.2487640095304684	4.140036960835231	5.09697203936626	5.544142994713347	4.649071211893369	5.324189552621672	6.166596328487507	6.751694251055332	7.203620301945148	7.518573894909207	8.157408949071087	8.72383673358171	8.489278093323458	8.148404574568044	7.452499878694986	5.734320752261286	1.833	18.83639585004977	0.3228304908046453	0.20589170008429425	0.24886418742339067	0.2224136216876699	1.1040776811955185E-4	1.104077681195516E-4	-66256.25769959617	0.0	-19538.812730318292
2400000	-84231.14715463403	-18784.388013802283	-65446.75914083175	22.150555450785294	2003.4412245492147	2654.8418992199927	6.24524	1.362027146494549	1.4104796651544627	1.452054562408154	2.7484085455164022	2.8986533797465484	3.1405362774247325	3.031977462297104	3.212213458251316	3.781793148671758	5.293453640027738	5.586269638899965	4.351562555549536	5.111418710473032	5.6992857035663835	6.286638418687335	6.694344069099443	7.818448306160094	8.350242946457916	8.120565358071623	7.788868997827164	7.351783370746363	6.687636558943376	5.4472886054258804	1.833	17.98700663084879	0.332676476368427	0.19586421203160687	0.25062870762426426	0.22083060397570195	1.3314638001303878E-4	1.3314638001303894E-4	-65446.75914083175	0.0	-18772.25507366108
2600000	-83001.56223028406	-18002.956436490258	-64998.6057937938	17.401858499467966	2008.189921500532	2260.04534521283	6.24524	1.398518358188655	1.3159873702594627	1.3985047852679675	2.4561487017884485	2.7688140784582522	2.7293943038458117	2.981793986597248	3.335271194810923	3.81064978163794	5.261703647593891	5.322015593359578	4.0269382531403455	5.01583278153242	5.311101079255033	6.118937750025083	6.34248531657278	7.0528346460082085	8.072452516392449	8.672669319646445	8.15938573197895	7.26687402087756	6.330063399244961	5.1705251678735085	1.833	15.866017041078598	0.32575594257374807	0.20392966406585675	0.2445429554903095	0.2257714378700857	1.4998519240972186E-4	1.4998519240972137E-4	-64998.6057937938	0.0	-17991.095669300124
2800000	-82286.4179948218	-17498.667331045246	-64787.75066377654	13.147940958663304	2012.4438390413366	1882.2084278433	6.24524	1.0178149647596333	1.4870417031219245	1.1592049772607538	2.4676011529205604	2.67456692506896	2.727505349291292	2.8371278055237097	3.162221161006478	3.7775591755783693	5.288810652987754	5.3280006314059385	4.091491169446873	4.514536120768752	5.163884700222372	5.741405401738886	6.0370450587120414	6.174556733088162	6.784667026928038	7.295727084726997	7.778974553824798	7.441287353815503	6.461648594707033	4.955254355508624	1.833	17.190919666872997	0.32097252909637847	0.20658839321613215	0.2520703692702821	0.22036870841720735	1.767212488589948E-4	1.7672124885899487E-4	-64787.75066377654	0.0	-17486.633749894423
3000000	-81250.95667037206	-16656.734431970315	-64594.22223840175	12.638322779450592	2012.9534572205494	1509.1306277160143	6.24524	0.5231183090439485	1.0329107608785792	1.185296430147752	2.140686640481789	2.4731081947624936	2.4276879431458998	2.8821760835725465	2.90486318087442	3.552820738060355	4.712517275244517	5.294801093500134	3.976943046192551	4.083807122545157	5.13591136342343	5.514025544601132	5.198960231473939	6.017565214316373	6.5808546821695835	6.4467916393156095	6.9043180534428785	6.81274624801495	5.830734985772916	4.5408661264622	1.833	17.00502863830078	0.3210546216885981	0.20347322064593024	0.2516605570204791	0.2238116006449925	2.285099814348798E-4	2.2850998143487982E-4	-64594.22223840175	0.0	-16644.724518816518
3200000	-80374.92745423806	-16044.465478640699	-64330.461975597354	12.553343265531982	2013.038436734468	1316.3371869252248	6.24524	0.6676113129746193	0.7050367543539515	1.0192244972729962	2.0390203932865885	2.4147704590587997	2.4860005743881564	2.6037815699242968	2.703405281773966	3.3721718760654187	4.251926057227329	5.062495306206833	3.686554996094051	3.929121763155653	4.773527186119936	5.320720992524887	5.090508053933768	5.6325206622319675	6.707027119295834	6.766982461465268	6.188057763534582	6.019856619371162	5.248046588141028	4.3045829974763	1.833	17.019880961385528	0.31984889033685415	0.20489391619312788	0.24652390710303532	0.22873328636698262	2.547638921478955E-4	2.547638921478964E-4	-64330.461975597354	0.0	-16032.453667767184
3400000	-79432.31403299487	-15266.124572719626	-64166.18946027524	9.45719450512237	2016.1345854948777	1054.9173213282147	6.24524	0.4859410398367581	0.8956644174371917	1.141154976386136	2.164513902757205	2.5578209772211022	2.4623510902327372	2.347546592100567	2.6394134944169374	3.2251761761308044	4.000207424619519	4.99814797063455	3.4873234108481634	3.786397443601989	4.380618027230689	5.036039274806716	4.9711338210379425	5.356620467164774	5.295249603729664	6.239801063741046	6.108654893894547	5.4367891347452755	4.794389072977493	3.8033947618896287	1.833	16.87919521625072	0.3282628633655075	0.20538753288317352	0.2438291076138217	0.2225204961374973	3.181471128905251E-4	3.1814711289052534E-4	-64166.18946027524	0.0	-15254.13078472841
3600000	-78649.92868608038	-14615.178304094095	-64034.75038198629	7.455538234998856	2018.1362417650012	880.0851234491529	6.24524	0.4582262823895616	0.7700528929923433	1.2900485387135094	2.12260754786714	2.3646216026210163	2.076698457515785	2.4381512920371193	2.589005504631773	3.152195024976219	3.830523975947439	4.804769468565732	3.269842547666969	3.5672283169510064	4.0688625612898806	4.692461906693363	4.571245318860408	5.004330753161445	5.264104385887108	5.660482843975785	5.521739599812996	5.27930822932012	4.358673815457307	3.4181178350848325	1.833	17.79124094572396	0.32887009332017864	0.20632343527114944	0.2462769783962973	0.21852949301237462	3.7638834406716177E-4	3.763883440671612E-4	-64034.75038198629	0.0	-14603.069503688721
3800000	-78118.8063951293	-14138.134770678154	-63980.67162445115	8.484457399103484	2017.1073226008964	769.1449243998759	6.24524	0.509037487992553	0.6930844113539799	0.9440696155387162	1.9222160167648994	2.1736293546308385	1.8139827899053809	2.4676965074146584	2.275050454812473	3.1639845267374866	3.874663107514466	4.299068031036804	3.1860770803693885	3.167730561096619	4.24435635881274	4.690349560138797	4.173519003344656	4.786209374001535	5.174677862009522	5.372399531757361	4.870346868694978	4.777479887391167	4.218263507049055	3.129495790929693	1.833	16.808763633635234	0.3217588378983701	0.20826125204863002	0.25093335178523246	0.21904655826776734	4.319992406232072E-4	4.319992406232079E-4	-63980.67162445115	0.0	-14126.150045296932
