#node	date	numeric date
MA_MGH_00093|MT520344.1|2020-03-29	2020-03-29	2020.241803
NODE_0000129	2020-03-27	2020.236339
MA_MGH_00211|MT520500.1|2020-03-27	2020-03-27	2020.236339
MA_MGH_00203|MT520363.1|2020-03-27	2020-03-27	2020.236339
NODE_0000220	2020-03-02	2020.168100
NODE_0000221	2020-03-06	2020.179005
MA_MGH_00495|MT520502.1|2020-03-27	2020-03-27	2020.236339
NODE_0000098	2020-03-07	2020.181395
MA_MGH_00005|MT520547.1|2020-03-11	2020-03-11	2020.192623
MA_MGH_00427|MT520287.1|2020-03-07	2020-03-07	2020.181694
NODE_0000227	2020-03-03	2020.170767
MA_MGH_00438|MT520325.1|2020-03-04	2020-03-04	2020.173497
NODE_0000105	2020-03-04	2020.173497
MA_MGH_00440|MT520191.1|2020-03-04	2020-03-04	2020.173497
NODE_0000106	2020-03-07	2020.181658
MA_MGH_00492|MT520418.1|2020-03-27	2020-03-27	2020.236339
MA_MGH_00435|MT520327.1|2020-03-08	2020-03-08	2020.184426
NODE_0000231	2020-03-04	2020.173408
NODE_0000176	2020-03-22	2020.222129
MA_MGH_00669|MT520265.1|2020-04-04	2020-04-04	2020.258197
NODE_0000108	2020-03-23	2020.224290
MA_MGH_00486|MT520279.1|2020-03-27	2020-03-27	2020.236339
NODE_0000109	2020-03-24	2020.227661
MA_MGH_00136|MT520439.1|2020-03-25	2020-03-25	2020.230874
MA_MGH_00745|MT873154.1|2020-04-10	2020-04-10	2020.274590
NODE_0000251	2020-03-05	2020.176426
NODE_0000099	2020-03-06	2020.178962
MA_MGH_00428|MT520408.1|2020-03-06	2020-03-06	2020.178962
MA_MGH_00432|MT520517.1|2020-03-07	2020-03-07	2020.181694
NODE_0000123	2020-03-18	2020.212279
NODE_0000125	2020-03-18	2020.212279
MA_MGH_00013|MT520229.1|2020-03-23	2020-03-23	2020.225410
MA_MGH_00182|MT520199.1|2020-03-26	2020-03-26	2020.233607
NODE_0000132	2020-03-25	2020.230568
MA_MGH_00728|MT873109.1|2020-04-08	2020-04-08	2020.269126
MA_DPH_00027|MT873419.1|2020-04-02	2020-04-02	2020.252732
MA_MGH_00161|MT520258.1|2020-03-26	2020-03-26	2020.233607
NODE_0000262	2020-04-02	2020.254085
MA_MGH_01586|MT873406.1|2020-05-09	2020-05-09	2020.353825
MA_MGH_00743|MT873329.1|2020-04-10	2020-04-10	2020.274590
NODE_0000183	2020-03-14	2020.200820
MA_MGH_00227|MT520384.1|2020-04-05	2020-04-05	2020.260929
MA_MGH_00181|MT520532.1|2020-03-26	2020-03-26	2020.233607
MA_MGH_00525|MT520533.1|2020-03-18	2020-03-18	2020.211749
MA_MGH_00516|MT520422.1|2020-03-14	2020-03-14	2020.200820
NODE_0000264	2020-03-23	2020.225333
MA_MGH_00571|MT520387.1|2020-03-23	2020-03-23	2020.225410
