# BEAST v10.5.0
# Generated Thu Oct 16 11:40:48 UTC 2025 [seed=1760614845301]
# -beagle -working beastX_run_alpha_a/ebola_dudas_alpha.xml
# keywords: skygrid
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	skygrid
2000000	-70712.97612538241	-12726.962246937845	-57986.01387844457	264.8896120341446	1750.9213479658554	8799.206891173595	12.4882	3.7971950180072978	3.661641370216642	3.123946795406571	2.9897554950172496	3.3282685781964783	3.001062719685307	3.3211321131210925	4.182614920121848	5.0205266653249625	5.753794163781774	5.908576435531506	7.103497762558984	7.976090745823589	8.754652629909359	8.876577543181819	9.346651598186424	10.015251181840753	10.194376186141907	10.018968516257686	10.206584117957753	9.504357164709495	9.113212827712617	8.852841060752903	8.326496704177755	7.195865025161955	2.0	10.03601027224988	0.3088076313038167	0.2244731871080695	0.19549800860224645	0.2712211729858675	0.18678987240703604	1.769830700576411E-5	1.7698307005764166E-5	-57986.01387844457	0.0	-12715.124166852565
2200000	-70526.6908183316	-12717.341058556594	-57809.349759775	239.23429956558667	1776.5766604344133	8924.754028731246	12.4882	3.2311990576778507	2.96637330147455	2.4637486837063105	2.7796407037995103	3.199608164081633	3.3098404331159252	3.4776414609787056	3.910037036425984	4.7399688168851695	5.629177509388725	6.6086742885400485	7.564380444414691	8.04363552893227	8.499658197480693	8.880094323235852	9.345809293891351	10.108746359984707	9.948570055230297	9.998220171922814	9.847395404657528	9.762007101697353	9.626051512118002	9.301956873072287	8.459463449162477	7.225176332034385	2.0	10.18676200941521	0.31091137211384756	0.21664834435955316	0.2045586924496827	0.26788159107691667	0.15606733564733477	1.760343711576006E-5	1.7603437115760126E-5	-57809.349759775	0.0	-12705.506256919249
2400000	-70236.90748944801	-12502.294920123564	-57734.61256932445	224.17603357756187	1791.6349264224382	8277.455057409554	12.4882	3.139067417877714	2.9231705494509357	2.701231172259673	2.7016131223975326	2.898252873048463	3.023137936406296	3.1881266602078626	3.8313730836691513	4.660079671106337	5.292632238875631	6.276703883907969	7.194413557237026	7.654821771396111	8.118280237265154	9.049809525663475	9.589118489268076	10.049377121918198	9.992834070508748	9.847494838380886	10.131394147671488	10.359220628383614	10.10872194686124	9.358306211337329	8.326233309680799	7.115843995232561	2.0	10.143013561786853	0.31237984030285676	0.22416129196281423	0.1993018269076019	0.2641570408267272	0.15760990731529145	1.8559125993826435E-5	1.855912599382649E-5	-57734.61256932445	0.0	-12490.466512795121
2600000	-70015.21926760237	-12458.978037649173	-57556.24122995319	214.93817846851468	1800.8727815314853	7854.1047768923945	12.4882	1.5315372757194905	1.9816702975534384	1.9873476201190954	2.3911450551666915	3.0052510850398133	2.9541561763477366	2.5766087299803373	3.9302622894431924	4.861201710913851	5.506185581709252	6.183969910112727	6.727607579767964	7.403674944427555	8.251911011852737	8.92695479075195	9.520496093631694	9.356172876202937	9.636971398512186	9.240712227759724	9.222937641829505	9.48516503245736	9.316125026177614	9.214546054502348	8.219170505336596	7.122850714078397	2.0	10.569607018929023	0.31223491273977416	0.22176581722623123	0.1984210589623102	0.2675782110716846	0.2054704392921406	2.0031160269269283E-5	2.0031160269269354E-5	-57556.24122995319	0.0	-12447.025310344428
2800000	-69809.34886879296	-12302.304089400723	-57507.044779392236	188.05833197316335	1827.7526280268366	7423.190175750375	12.4882	1.381309943945239	1.4416103762591757	1.9580520356465763	2.3521607376271834	2.727216895579637	2.8942815578150634	3.35718736405287	3.6411958024661635	4.700536807761566	5.345266935651966	6.049271846846962	7.041552907529796	7.858419361717647	8.592595629847764	8.811335134744542	8.880414766201241	9.398183137369141	9.320858720435893	9.303171935564812	9.322152749781432	9.289514420021847	9.30291617480494	8.817080744998893	8.264555659913418	7.046350259664298	2.0	10.96608790074152	0.3156786120209242	0.21807289339246239	0.19854019047612037	0.26770830411049323	0.1866857473302195	2.0231841680059067E-5	2.0231841680059044E-5	-57507.044779392236	0.0	-12290.300882959944
3000000	-69585.28686220963	-12245.829299130293	-57339.45756307934	169.24564211418271	1846.5653178858174	7155.117278775477	12.4882	1.64172803324696	1.7147821591589947	2.065866227007192	2.5574848943733484	2.831511509251507	2.6973760074418367	3.03542333846521	4.143220645169995	4.717095820526653	5.209850797249617	5.8099544725368055	7.079755392623895	7.892734871562812	8.6880754745155	9.639574793061033	10.095922155927445	10.147962108231681	10.401686756376844	10.342875719745894	10.029696598529688	9.311722857878955	8.852003965603334	8.583592968188508	7.673312056583811	6.956239968416952	2.0	10.638539074869504	0.3116902910754769	0.22498318876871548	0.20056963213386161	0.2627568880219461	0.1989970365814084	2.182742433142632E-5	2.182742433142634E-5	-57339.45756307934	0.0	-12233.87088147174
3200000	-69401.0910189349	-12065.804721881974	-57335.28629705292	150.93737800060208	1864.8735819993979	6703.649591974475	12.4882	2.102715741229371	1.658575215447406	1.9406821570555166	2.493454129955496	2.8645487884938468	2.854161179601414	3.073539739787582	3.649526137462526	4.380473441271589	5.209494461011424	6.116520383333092	7.076438764426681	7.8427234182080285	8.885724772297282	9.29062708132322	9.74956007568741	9.56038949057613	9.086846989293832	9.151976212954843	9.600545851553289	9.255802039206223	8.947403029243942	8.378647924106996	7.94465767166432	6.922453552581014	2.0	9.425526303014307	0.30950858486774613	0.21544736776515527	0.2010998664254701	0.2739441809416286	0.22082363701280153	2.268457657604183E-5	2.2684576576041802E-5	-57335.28629705292	0.0	-12054.046568695303
3400000	-69273.055623455	-11894.713684888231	-57378.341938566766	138.16687063287043	1877.6440893671297	6168.856125938418	12.4882	1.3322127739012068	1.5327918861406564	1.9826435546427947	2.3454007164544035	3.229385962554809	2.6539310492592647	2.8858403036291462	3.57388153132993	4.462526821241581	5.225443470465241	5.844804391798467	6.729647303916413	7.505695381445283	8.135033318334333	8.79649976623384	9.451038726184253	9.75355505619265	9.657987397221707	9.594632081385376	9.231191710052295	8.941138598217739	8.929179026407924	8.569512734203771	7.891827503420633	6.85598235532385	2.0	9.906462636652334	0.3117366673133926	0.21636313847012562	0.20541101229489983	0.26648918192158194	0.17454011843735806	2.521232855535238E-5	2.521232855535234E-5	-57378.341938566766	0.0	-11882.911653848607
3600000	-69057.86396969075	-11745.597268824818	-57312.26670086593	112.65764785696844	1903.1533121430316	5532.702251750463	12.4882	2.025018904914032	2.1075978423630177	2.1649904215455473	1.971933943018333	2.8939890231951395	2.6357976721665732	2.896599195102221	3.5876439699888665	4.550583795757487	5.408306738508461	6.096071353933669	6.592973675353778	7.431596114134137	8.327357419816805	8.919420400138497	9.129687693601374	8.983471633936322	9.22741378913158	9.247263960557232	9.194591877986413	9.075933557779848	8.749178775438693	8.191881552732402	7.912807123147337	6.623007765162385	2.0	9.596100513346318	0.31105741111336555	0.21991755122818493	0.2025339290803496	0.2664911085780999	0.22435765916329514	2.7650250566167032E-5	2.765025056616699E-5	-57312.26670086593	0.0	-11733.8032707478
3800000	-68627.00938566682	-11365.066461535569	-57261.94292413126	71.7097151757665	1944.1012448242336	4716.140262226491	12.4882	2.4466045820319047	2.2547259830291835	2.201272525272301	2.492392904847476	2.7075228153481787	2.772973036832583	3.016091548467723	3.8876134648216185	4.089474997124347	4.525330905681862	5.54634694565347	6.794726116321965	7.882894823352376	8.274488736913645	9.14228128667228	9.67370954337368	9.77697709493407	9.543206140211836	9.5211093189868	9.11978860438628	8.91990029863192	8.514770762600476	8.320112991904468	7.901919717953022	6.369070337733309	2.0	10.278195393135285	0.3144353717443173	0.21660165445981727	0.1995406910204041	0.26942228277546126	0.18161548635557764	3.190447270820346E-5	3.1904472708203525E-5	-57261.94292413126	0.0	-11353.18959545572
