# Produced by delphy version 1.1.4 (build 2044, commit a50e378)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/ebola.fasta <DASH-DASH>v0-steps 1000000000 <DASH-DASH>v0-out-log-file delphy_outputs_b/ebola_delphy.log <DASH-DASH>v0-log-every 50000 <DASH-DASH>v0-out-trees-file delphy_outputs_b/ebola_delphy.trees <DASH-DASH>v0-tree-every 500000 <DASH-DASH>v0-out-delphy-file delphy_outputs_b/ebola_delphy.dphy <DASH-DASH>v0-delphy-snapshot-every 1000000
state	numMuts	posterior_for_Delphy	prior_for_Delphy	likelihood_really_logG	rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood_really_logG	branchRates	coalescent	
4600000	55	-22810.1	3878.62	-26688.7	0.274362	2014.18	1.25734	0.15931	11.0728	13.4971	0.315963	0.21426	0.204842	0.264935	0.00229683	0.00229683	-26688.7	0.0	120.563	
4650000	55	-22771.4	3910.36	-26681.8	0.278938	2014.18	1.15555	0.0776642	4.46036	6.07043	0.321411	0.211915	0.196733	0.269941	0.00249306	0.00249306	-26681.8	0.0	149.953	
4700000	55	-22766.5	3912.94	-26679.5	0.278057	2014.18	1.12073	0.0674824	5.84071	7.55685	0.321949	0.212649	0.198354	0.267048	0.00266805	0.00266805	-26679.5	0.0	152.786	
4750000	55	-22784.5	3896.62	-26681.1	0.264031	2014.19	1.14398	0.0988943	9.93529	7.96964	0.320694	0.21165	0.195715	0.271942	0.00239033	0.00239033	-26681.1	0.0	137.07	
4800000	55	-22810.5	3881.23	-26691.7	0.280876	2014.18	1.3908	0.108155	4.43753	7.26565	0.322436	0.214462	0.195275	0.267827	0.00217497	0.00217497	-26691.7	0.0	121.432	
4850000	55	-22811.5	3878.87	-26690.3	0.287404	2014.17	1.33016	0.121532	5.4339	7.82195	0.324959	0.213069	0.197419	0.264553	0.0024281	0.0024281	-26690.3	0.0	119.349	
4900000	55	-22843.6	3856.26	-26699.9	0.30257	2014.16	1.58396	0.13291	2.95654	13.4472	0.317995	0.215713	0.19719	0.269101	0.00146204	0.00146204	-26699.9	0.0	97.7506	
4950000	55	-22841.1	3861.86	-26702.9	0.359187	2014.1	1.67623	0.111028	1.93273	8.28597	0.320393	0.217701	0.198836	0.26307	0.00160977	0.00160977	-26702.9	0.0	102.228	
5000000	55	-22828.9	3870.17	-26699	0.316048	2014.14	1.51225	0.111676	3.81298	5.06675	0.319915	0.212595	0.202136	0.265353	0.00161893	0.00161893	-26699	0.0	109.844	
5050000	55	-22824.4	3868.12	-26692.5	0.275602	2014.18	1.36452	0.14434	8.50033	6.3035	0.316656	0.218232	0.19396	0.271151	0.00233997	0.00233997	-26692.5	0.0	108.519	
5100000	55	-22825.6	3869.64	-26695.2	0.280625	2014.18	1.43348	0.136813	8.84473	7.423	0.32491	0.209644	0.199373	0.266073	0.00229836	0.00229836	-26695.2	0.0	110.258	
5150000	55	-22835.9	3862.67	-26698.5	0.27895	2014.18	1.45562	0.143579	8.50149	6.52818	0.325768	0.214348	0.190356	0.269527	0.00171928	0.00171928	-26698.5	0.0	103.117	
5200000	55	-22888.1	3825.97	-26714.1	0.353659	2014.1	2.05639	0.233657	3.59812	5.94845	0.318054	0.213328	0.1971	0.271518	0.00120243	0.00120243	-26714.1	0.0	66.6023	
5250000	55	-22863	3842.71	-26705.7	0.3431	2014.12	1.77594	0.188053	7.76372	9.75902	0.323255	0.210132	0.199084	0.267529	0.00146898	0.00146898	-26705.7	0.0	84.0849	
5300000	55	-22849.5	3849.99	-26699.4	0.284268	2014.18	1.61302	0.173803	9.99674	7.57622	0.321587	0.211796	0.197558	0.26906	0.00174027	0.00174027	-26699.4	0.0	90.9207	
5350000	55	-22848.3	3854.92	-26703.2	0.291279	2014.17	1.65316	0.140745	4.32435	6.73482	0.322578	0.208937	0.195843	0.272642	0.00158841	0.00158841	-26703.2	0.0	95.262	
5400000	55	-22879.7	3830.17	-26709.9	0.328843	2014.13	1.8548	0.265853	8.38216	9.97562	0.324727	0.208946	0.199487	0.26684	0.00127877	0.00127877	-26709.9	0.0	71.9479	
5450000	55	-22838.1	3865.17	-26703.2	0.313958	2014.15	1.59242	0.112065	3.47427	12.6179	0.314188	0.221163	0.195075	0.269574	0.00145121	0.00145121	-26703.2	0.0	106.378	
5500000	55	-22851.2	3851.49	-26702.7	0.287658	2014.17	1.65183	0.158035	6.25154	16.1021	0.316916	0.217427	0.198927	0.26673	0.0020486	0.0020486	-26702.7	0.0	93.6301	
5550000	55	-22836.2	3862.94	-26699.1	0.292811	2014.17	1.53432	0.147545	5.09697	4.70177	0.319307	0.210746	0.199667	0.270281	0.00176051	0.00176051	-26699.1	0.0	102.83	
5600000	55	-22829	3866.47	-26695.5	0.29871	2014.16	1.48926	0.121295	5.19994	12.4939	0.322458	0.211447	0.197233	0.268862	0.00200091	0.00200091	-26695.5	0.0	107.79	
5650000	55	-22832.4	3864.23	-26696.6	0.298132	2014.16	1.53958	0.109375	3.01142	8.54251	0.320439	0.214124	0.196479	0.268958	0.00202432	0.00202432	-26696.6	0.0	104.674	
5700000	55	-22854.9	3846.29	-26701.2	0.287529	2014.17	1.62661	0.205523	8.71331	11.5679	0.321287	0.214275	0.194598	0.26984	0.00215312	0.00215312	-26701.2	0.0	88.1024	
5750000	55	-22826.5	3869.55	-26696.1	0.300755	2014.16	1.44292	0.0959913	4.27092	15.3844	0.313185	0.217254	0.198444	0.271117	0.00235497	0.00235497	-26696.1	0.0	111.028	
5800000	55	-22817.3	3873.9	-26691.2	0.301723	2014.16	1.34273	0.0906363	3.62636	14.5619	0.3189	0.215921	0.195973	0.269206	0.00172292	0.00172292	-26691.2	0.0	115.191	
5850000	57	-22859.8	3862.09	-26721.9	0.320203	2014.14	1.54113	0.132098	8.03331	10.9967	0.316759	0.217298	0.196625	0.269318	0.00192745	0.00192745	-26721.9	0.0	103.342	
5900000	56	-22874.3	3844.27	-26718.5	0.318586	2014.14	1.73882	0.184304	8.26464	4.53923	0.318841	0.215204	0.19652	0.269434	0.00179124	0.00179124	-26718.5	0.0	84.4362	
5950000	55	-22855.3	3847.52	-26702.9	0.276965	2014.18	1.59883	0.195755	8.8855	6.97714	0.315123	0.215512	0.196089	0.273276	0.00131157	0.00131157	-26702.9	0.0	88.3996	
6000000	55	-22853.2	3848.77	-26702	0.296885	2014.16	1.67471	0.147986	5.69184	8.01053	0.320966	0.214769	0.194342	0.269923	0.00161027	0.00161027	-26702	0.0	89.4868	
6050000	55	-22834	3867.33	-26701.3	0.361015	2014.1	1.62906	0.102546	0.25339	6.19989	0.318538	0.217839	0.195474	0.268149	0.00161796	0.00161796	-26701.3	0.0	107.095	
6100000	56	-22858.6	3860.02	-26718.6	0.306935	2014.15	1.62561	0.125138	6.31407	16.6069	0.320685	0.206942	0.199081	0.273293	0.00193452	0.00193452	-26718.6	0.0	101.998	
6150000	55	-22833.9	3860.12	-26694.1	0.280145	2014.18	1.46353	0.136564	5.83099	10.9088	0.316057	0.214423	0.199218	0.270303	0.00198428	0.00198428	-26694.1	0.0	101.314	
